term,pos,notes,is_case_sensitive,translation_ja,notes_ja
Longlier,noun,,false,Longlier,川。Arkan-thoriaと同じ川を指す。人間が使う名称。
Lord Hamel,noun,,false,Hamel 卿,"Knalgaの君主。
「北部の再興」「Thursaganの槌」"
Lord Logalmier,noun,,false,Logalmier 卿,"エルフの評議会のメンバー。
「Wesnothの起源」"
Lord Maddock,noun,,false,Maddock卿,"Elensefarの市長。
「自由‎」"
Lord Protector,noun,,false,護民長,北部同盟のトップの役職
Lord Typhon,noun,,false,Typhon 卿,"マーフォークの君主。
「Wesnothの起源」"
Loyalist,noun,,false,忠誠軍,"標準の時代に含まれている党派の一つ。
この党派に属する人間を表す場合は、忠誠者と訳す。"
Loyalists,noun,,false,忠誠軍,
Lua,noun,,false,Lua,組み込み用途に特化したスクリプト言語。ポルトガル語で「月」の意味。
MP,noun,,false,MP,"（１）移動力を表す。
（２）マルチプレイヤーの略。"
Magical,noun,,false,魔法,特殊武器の一つ。命中率が70%となる。
Main Menu,noun,,false,メインメニュー,
Mal Keshar,noun,,false,Mal Keshar,「闇へ堕ちて」
Mal M'Brin,noun,,false,Mal M'Brin,"リッチ。
「南部防衛隊」"
Mal-Ravanal,noun,,false,Mal-Ravanal,「東部侵略」「死の海」
Mal-Skraat,noun,,false,Mal-Skraat,「東部侵略」
Malifor,noun,,false,Malifor,"古代リッチ。
「北部の再興」"
Malin Keshar,noun,,false,Malin Keshar,"「闇へ堕ちて」の主人公。
のちに、Mal-Kesherと名乗る。
人気があるらしく、いくつかのUMCにも登場する。"
Marksman,noun,,false,精密,特殊武器の1つ。こちらからの攻撃時には、命中率が60%となる。
Marth-Tak,noun,,false,Marth-Tak,"北部同盟傘下のオークの族長。
「Thursaganの槌」"
Master Perrin,noun,,false,Perrin 学長,"魔術師。
「Thursaganの槌」"
Mechanical,noun,,false,機械,"種族の一つ。
納得が行かないかも知れないけど。
ユニットの特性の一つでもある。"
Melmog,noun,,false,Melmog,極北の都市
Melusand,noun,,false,Melusand,"マーメイド。
「燃える太陽の下で」"
Meneldur,noun,,false,Meneldur,Elensefarの指導者で、エルフ。
Menu button,noun,,false,メニューボタン,トップパネルに「メニュー」と表示されていボタン。
Mermen Warrior,noun,,false,マーマンの熟練戦士,
Message,noun,,false,チャットメッセージ,チャットでやり取りするメッセージ。
Methor,noun,,false,Methor,"Delfadorの師匠。
「Delfadorの回顧録」"
Midlands,noun,,false,内陸府,緑の島の地名。
Minister Edren,noun,,false,Edren 牧師,「Wesnothの起源」
Minister Hylas,noun,,false,Hylas 牧師,「南部防衛隊」
Modifications,noun,,false,Mod,"ゲームのデータの追加を行うユーザー製のファイル。
Add-onも参照。"
Monogor,noun,,false,Monogor,大洋のはるか西にある多島海。
Monster,noun,,false,モンスター,"種族の一つ。
随分と大雑把な分類である。"
Mordak,noun,,false,Mordak,"黒魔術師。
「２人の兄弟の物語」"
Moremirmu,noun,,false,Moremirmu,"白魔術師。
「王位継承者」"
Mountains,noun,,false,山,基本地形の一つ。
Mountains of Dorth,noun,,false,Dorth山脈,極北にある山。
Mountains of Haag,noun,,false,Haag山脈,極北にある山。
Mourned Hills,noun,,false,嘆きの丘陵,黒眼の子に登場、LmarigやBorstepにほど近い丘陵地帯
Moutains,noun,,false,山,地形の一つ。
Muff Toras,noun,,false,Muff Toras,"暗黒僧。
「２人の兄弟の物語」"
Nafga,noun,,false,Nafga,"オークの暗殺者。
「東部侵略」"
Naga,noun,,false,ナーガ,種族の一つ。
Naia,noun,,false,Naia,二つの太陽のうちのひとつ。後から打ち上げたほう。utbs
Neutral,noun,,false,中立,アラインメントの一つ。
Nightgaunt,noun,,false,ナイトゴーント,"ゴースト系をカタカナで揃えて、統一感を出すために変更。
夜鬼。"
Nightstalk,noun,,false,隠密,ユニットが持つ能力の一つ。
Nil-Galion,noun,,false,Nil-Galion,"エルフ。
「２人の兄弟の物語」"
North Elves,noun,,false,北部エルフ,"High Elves（ハイエルフ）とも。
北部エルフ族。"
North-Elves,noun,,false,北部エルフ族,
Northern Alliance,noun,,false,北部同盟,"北の大地の平和と正義を保証するための組織。
535 YW　設立。"
Northern Plains,noun,,false,北部平原,
Northern Rebirth,noun,,false,北部の再興,"メインラインキャンペーンの一つ。
nr"
Northerners,noun,,false,北方部族,"オークを中心とした、北の種族が集まった党派。
標準の時代の党派の一つ。"
Northlands,noun,,false,北の大地,北部地域には国家と呼べるものはありません。オーク、ドワーフ、人間の無法者、さらにはエルフまでも含む種々の集団がこの地域に住んでいます。この領域の北と東の境界線は定められておらず、南は大いなる川、西は大洋が境界線となります。
Novice level,pronoun,,false,初級レベル,
Null Stone,noun,,false,ナルストーン,瞬間移動の術を無効化できる特殊な石。
Nym,noun,,false,Nym,"Kalehの幼なじみ。
Nymphtessa。
「燃える太陽の下で」"
Objective,noun,,false,目標,シナリオの目標。
Objectives pop-up box,noun,,false,シナリオの目標,「シナリオの目標」を表示するポップアップウィンドウのこと。
Ogre,noun,,false,オーガ,種族の一つ。
Old Continent,noun,,false,旧大陸,Wesfolkがもともと住んでいた陸地。
Oldwood Forest,noun,,false,古木の森,緑の島の地名。
Ollin,noun,,false,Ollin,"農民。
「Thursaganの槌」"
Olurf,noun,,false,Olurf,"ドワーフ。
「Wesmere の伝説」"
Option,noun,,false,オプション,
Orcish,adjective,,false,オークの,オーク族の
Orcish Clannate,noun,,false,オーク連合,Clannateは造語？
Orcish Warrior,noun,,false,オークの戦士,
Outlaw,noun,,false,無法者,
Outlaws,noun,,false,無法者,
Overlay,noun,,false,オーバーレイ,重ねて表示
Owaec,noun,,false,Owaec,「東部侵略」
Palette,noun,,false,パレット,エディタで地形を描く際のパレット。
Palette Group,noun,,false,パレットグループ,
Parthyn,,,false,Parthyn,"Wesnoth王国の北のはずれの街。
Malin Kesharの故郷。
大いなる川を渡ることができる浅瀬があるので、オークの襲撃を度々受けている。"
Peasant,noun,,false,農民,
Pelathsil,noun,,false,Pelathsil,「東部侵略」
Pelias,noun,,false,Pelias,"人間の騎士。
「Thursaganの槌」"
Petrify,noun,,false,石化,特殊武器の一つ。
Piercing,noun,,false,刺突,ダメージ型の一つ。
Pikeman,noun,,false,熟練槍兵,
Pirk,noun,,false,Pirk,"オークのシャーマン。
「黒眼の子‎」"
Plague,noun,,false,疫病,特殊武器の一つ。
Planning Mode,noun,,false,計画モード,事前に移動や攻撃、雇用の計画を練ることができるモード。
Preferences,noun,,false,設定,
Preferences menu,noun,,false,設定メニュー,
Prestim,noun,,false,Prestim,極北の都市。
Primal Aeon,noun,,false,原始の Aeon,
Prince Haldric,noun,,false,Haldric 王子,"「Wesnothの起源」の主役。
Haldric I世も参照。"
Profile,noun,,false,プロフィール,プロファイルではなくプロフィール。
Publishing information file,noun,,false,公開情報ファイル,".pbl。
アドオンを公開する際に必要なファイル。"
Queen Xeila,noun,,false,女王 Xeila,"ナーガ族の女王。
「南部防衛隊」"
Quenoth,noun,,false,Quenoth,砂漠のエルフが住んでいた地名。または砂漠のエルフの種族名。
Rail,noun,,false,レール,
Rakshas,noun,,false,Rakshas,"オーク。
Knalgaに侵攻してきた。
「北部の再興」"
Ratheln,noun,,false,Ratheln,"魔術師。
「Thursaganの槌」"
Reaper’s Moon,noun,"October, name of month",false,穫月,１０月。穫月の月
Rebels,noun,,false,反乱軍,エルフを中心とした党派。標準の時代の党派の一つ。「王位継承者」の時代に邪悪な女王Asheviereに反乱を起こしたため、人間からこう呼ばれていた。
Recorder,noun,,false,記録者,ドレークの歴史編纂者。ドレークの社会においては、生物学的な特徴によらない唯一のカーストで、他のすべてのカーストからリクルートされる。
Redo,,,false,リドゥ,やり直す。元に戻したものを戻す。
Regenerates,noun,,false,再生,ユニットが持つ能力の一つ。
Reglok,noun,,false,Reglok,"Elensefarの盗賊ギルドの頭目。
「王位継承者」"
Relana,noun,,false,Relana,"Delwyn の村長。
「自由‎」"
Relgorn,noun,,false,Relgorn,"ドワーフの君主。
Ulrekの息子。
「王位継承者」
「Delfadorの回顧録」"
Reshan'lo,noun,,false,Reshan'lo,ドレークの記録者。Kerath の飛族の記録者であると同時に、螺旋派の記録者の一員でもある。
Resources,noun,,false,素材集,アドオンの種類の一つ。
River Bork,noun,,false,Bork川,極北にある川。
River Listra,noun,,false,Listra川,川の名前。大いなる川の支流。
River Oumph,noun,,false,Oumph川,極北にある川。
River Weldyn,noun,,false,Weldyn川,
Ro'Arthian,noun,,false,Ro'Arthian,"リッチ。
Ro'Sothianの兄。
「北部の再興」"
Ro'Sothian,noun,,false,Ro'Sothian,"リッチ。
Ro'Arthianの弟。
「北部の再興」"
Rod of Justice,noun,,false,裁きの杖,
Rogrimir,noun,,false,Rogrimir,"ドワーフ。
「燃える太陽の下で」"
Rookie level,pronoun,,false,入門レベル,
Rotharik,noun,,false,Rotharik,"黒魔術師。
「２人の兄弟の物語」"
Royal Forest,noun,,false,王家の森,Glynの森の別名。
Rualsha,noun,,false,Rualsha,"オークの君主。
「オークの襲撃」"
Ruby of Fire,noun,,false,炎のルビー,林檎ほどの大きさ。the stoneとも。
Rugnur,noun,,false,Rugnur,"ドワーフ。
「炎の笏」"
SP,noun,,false,SP,シングルプレイヤーの略
Sagus,noun,,false,Sagus,"Asheviereの父親。
「Delfadorの回顧録」"
Sand,noun,,false,砂地,基本地形の一つ。
Sandy Waste,pronoun,,false,砂の荒れ地,
Saradoc,noun,,false,Saradoc,Wesnoth最北の前哨基地。
Saurian,noun,,false,トカゲ,種族の一つ。トカゲ族。
Scatterseed,noun,"March, name of month",false,蒔種,３月。蒔種の月
Sceptre of Fire,noun,,false,炎の笏,"(1) Wesnothの王権を象徴する工芸品。炎のルビーも参照。
(2) メインラインキャンペーンの一つ。sof"
Screenshot,noun,,false,スクリーンショット,
Scryer’s Bloom,noun,"May, name of month",false,占華,５月。占華の月
Search,,,false,検索,
Sela,noun,,false,Sela,二つの太陽のうちのひとつ。もとからあったほう。utbs
Sergeant,noun,,false,軍曹,"昔の（近代的ではない）軍隊では、ひとつの部隊（規模はさまざま）の長を、""Sergeant""と呼称したらしい。"
Sergeant Durstrag,noun,,false,Durstrag軍曹,「燃える太陽の下で」
Serpent,noun,,false,サーペント,"大蛇。
サーパント。
Sea Serpent → シーサーペント。
Water Serpent → ウォーターサーペント。"
Shallow Water,noun,,false,浅瀬,基本地形の一つ。
Shan Taum,noun,,false,Shan Taum,"オーク。
「黒眼の子‎」"
Shek’kahan,noun,,false,Shek’kahan,"ドラゴン。
「Wesnothの起源」"
Shinsplitters,noun,,false,脚折隊,
Siddry,noun,,false,Siddry,「死の海」
Silent Forest,noun,,false,静寂の森,極北にある森。
Sir Gerrick,noun,,false,Gerrick 卿,「南部防衛隊」
Sir Kaylan,noun,,false,Kaylan卿,"騎士
「王位継承者」"
Sir Ladoc,noun,,false,Ladoc 卿,「Wesnothの起源」
Sir Ruddry,noun,,false,Ruddry 卿,「Wesnothの起源」
Siren,noun,,false,セイレーン,"セイレン。
英語読みだとサイレン。
マーメイド・セイレン→マーメイドのセイレーン"
Sisal,noun,,false,Sisal,"エルフ。
「北部の再興」"
Sister Thera,noun,,false,シスター Thera,「北部の再興」
Son of the Black Eye,noun,,false,黒眼の子,"メインラインキャンペーンの一つ。
sotbe"
Sound Source Tool,noun,,false,音源ツール,soundsource toolの表記ブレだと思われる。
Southbay,noun,,false,Southbay,緑の島の最大の国家、あるいは港町。
Southwest Elven Lands,noun,,false,南西のエルフ王国,南の森（Aethenの森）のエルフは北部のエルフ達とは隔絶されて暮らしており、彼らとも、他の国々とも恒常的な交流はありません。彼らの住む領域は、北東は緑の沼地、南は砂漠、西は大洋によって区切られています。
Southwood,noun,,false,南の森,森。Aethenの森の南部を指す。エルフはこの名称を使わず、全て「Aethenの森」として扱っている。
Speak,noun,,false,チャット,デフォルトだとmキーを押すと利用できるチャット機能。
Spiral Path,noun,,false,螺旋派,ドレークの社会における秘密結社のような組織で、半ば公然化している。マルサス的（人口増加に食料の供給が追い付かなくなることで起きる）最終戦争を回避することに努める。その構成員のほとんどが「記録者」で、通常のドレークよりも豊富な知識を有する。とりあえず「螺旋派」と訳す。
Staff of An-Usrukhar,noun,,false,An-Usrukharの杖,An-Usrukharは人名。
Stalrag,noun,,false,Stalrag,"ドワーフ
「北部の再興」"
Starting Positions Tool,noun,,false,開始地点ツール,starting toolの表記ブレだと思われる
Steadfast,noun,,false,装甲,ユニットが持つ能力の一つ。
Steelclad,noun,,false,装甲歩兵,Dwarvish Steelcladは、ドワーフの装甲歩兵。
Stillseed,noun,"September, name of month",false,眠種,９月。眠種の月
Straight Path,noun,,false,伝統派,"""straight path に従う者"" あるいは ""The Straigt Path"" という表現は「永続的な拡張と征服」というドレークの伝統を意味する単語である。
取りあえず「伝統派」と訳すが、「純粋派」「正統派」「直線派」なども検討に値する。"
Strikes,noun,,false,回数、攻撃回数、〜回攻撃,武器ごとに設定されている、攻撃回数
Subjects of the Crown,noun,,false,王位の臣民,Wesnoth王国の国民のこと。
Submerge,noun,,false,潜水,ユニットが持つ能力の一つ。
Sulla,noun,,false,Sulla,"マルチプレイヤーマップの解説にて登場する人物。
女大魔術師。"
Summit Star,noun,"July, name of month",false,頂星,７月。星頂の月
Swamp,noun,,false,沼地,基本地形の一つ。
Swamp of Dread,noun,,false,恐怖の沼地,"地図の南東の角にある沼地。
ヘルプページに「bog」と書かれていたため、湿地ではなく沼地にしている。"
Swamp of Esten,noun,,false,Esten沼地,緑の島の地名。
Swamps of Illuven,noun,,false,Illuvenの湿地帯,地名。恐怖の沼地の一部？
Swarm,noun,,false,群れ,特殊武器の一つ。
Swordsman,noun,,false,剣士,
Tairach,noun,,false,Tairach,"オークの将軍。
「２人の兄弟の物語」"
Tallin,noun,,false,Tallin,「北部の再興」の主役。
Tanstafaal,noun,,false,Tanstafaal,「燃える太陽の下で」
Tath,noun,,false,Tath,都市名。
Teleport,noun,,false,瞬間移動,ユニットが持つ能力の一つ。
Telfar Green,noun,,false,Telfar の草地,
Terrain Clipboard,noun,,false,地形のクリップボード,
The Great Chamber,noun,,false,大会議室,北部の再興にて登場したMaliforの洞窟の空間。当初大空洞と訳されていたが、他の部屋を研究室などと施設名で名付けていたことから、大会議室と改めた。
The Hammer of Thursagan,noun,,false,Thursaganの槌,"メインラインキャンペーンの一つ。
thot"
The Rise Of Wesnoth,,,false,Wesnothの起源,"メインラインキャンペーンの一つ。
trow"
The South Guard,noun,,false,南部防衛隊,"メインラインキャンペーンの一つ。
tsg"
Thhsthss,noun,,false,Thhsthss,"トカゲの神官
「自由‎」"
Thorntress,noun,"June, name of month",false,茨女,６月。蔦繁の月
Thursagan,noun,,false,Thursagan,"ドワーフのルーンマスター。
Haldric II世の依頼により炎の笏を作ったが、引き渡せぬまま死んでしまった。
「炎の笏」"
Time of Day,noun,,false,時刻,時刻サイクル。夜明け、日中（朝）、日中（午後）、夕方、 夜、深夜。
Time of day indicator,noun,,false,時刻,右パネルの中で、時刻の情報を表示する部分。
Tirigaz,noun,,false,Tirigaz,極北の都市。
ToD,noun,,false,時刻,Time of Dayの略。
Tusk Charge,noun,,false,突進,"""Wings of Victory（勝利の翼）"" でイノシシ系モンスターが使う攻撃。
牙による突撃なので、「突進」としてみる。
ちなみにダメージ型は「刺突」。"
Tusks,noun,,false,突き上げ,"""Wings of Victory（勝利の翼）"" でイノシシ系モンスターが使う攻撃。
牙を使った斬撃なので、「突き上げ」としてみる。"
Tutorial,noun,,false,チュートリアル,チュートリアルを一通り行うことで、基本的な操作を学べるようにように作られている。
Tyegëa,noun,,false,Tyegëa,「死の海」
Ulrek,noun,,false,Ulrek,"ドワーフ。
「Delfadorの回顧録」"
Under the Burning Suns,noun,,false,燃える太陽の下で,"メインラインキャンペーンの一つ。
utbs"
Underground,noun,,false,地下,
Undo,,,false,アンドゥ,取り消し。元に戻す。
Unit,noun,,false,ユニット,ゲームの駒のこと。
Units,noun,,false,ユニット,
Unpoison,noun,,false,解毒,"ユニットが持つ能力の一つ。だったけど削除された。
使っている所があったらお知らせください。"
Uradredia,noun,,false,Uradredia,エルフの君主。「Wesmereの伝説」と「王位継承者」に出てくるけど、たぶん別人。でないと、年齢的につじつまが合わない。
Urza Afalas,noun,,false,Urza Afalas,「南部防衛隊」
Urza Mathin,noun,,false,Urza Mathin,「南部防衛隊」
User-maintained content,noun,,false,UMC,ユーザーメイドコンテンツの表記ゆれ？
Vank,noun,,false,Vank,ドレークの副官。Galun の大陸への巣分かれにおいて、最大の貢献をした。
Velon,noun,,false,Velon,「Wesmere の伝説」
Verglas Bloom,noun,"November, name of month",false,氷華,１１月。氷華の月
Verkon,noun,,false,Verkon,"Galun を輩出した飛族。
また、その ""dominant"" であるドレークの名前。"
View,,,false,視点,"リプレイ用語。
リプレイ再生時には、各プレイヤーの見える範囲の情報のみを映すか、マップ全体を映すかを切り替えることができる。"
Villager,noun,,false,村人,
Volas,noun,,false,Volas,"エルフ。
「東部侵略」"
Vrag,noun,,false,Vrag,"ゴブリンライダー。
「黒眼の子‎」"
Vraurk,noun,,false,Vraurk,"オークのシャーマン。
「黒眼の子‎」"
Vulcaniad,noun,,false,火山紀,"Morogor 山で起きる２つの連続する噴火の間の期間で、その長さは一定ではない。ドレークの暦はこれに基づく。WoV の開発者メモによると、""Olympiad"" に類似した造語。とりあえず「火山紀」と訳す。"
WML,noun,,false,WML,Wesnoth Markup Language
Water,noun,,false,水域,地形の一つ。浅瀬と深水を含む。
Ways,noun,,true,掟,"""Winds of Fate"" で用いられている。
取りあえず「掟」と訳すが、「しきたり」「伝統」「流儀」「道」なども検討に値する。"
Weapon Special,noun,,false,特殊武器,遅化などの武器に付いている特殊な効果。
Weldyn,noun,,false,Weldyn,Wesnoth国の首都。
Wesfolk,noun,,false,Wesfolk,旧大陸から緑の島に渡ってきた人々。炎のルビーを持ってきた。
Wesfolk war,noun,,false,Wesfolk戦争,WesfolkとIslefolkの戦争。最終的にIslefolkが勝利し、Wesfolkは緑の島の辺境へ追いやられた。
Wesmere,noun,,false,Wesmere,エルフの評議会、Ka’lianが開かれる場所
Wesnoth,noun,,false,Wesnoth,
Wesnothian,noun,,false,Wesnoth人,基本的に人間族のことを指すが、Elensefarの住人や開拓民やアウトローなど、Wesnoth人でない人間もいる。
Whisper,noun,,false,ささやき,マルチプレイヤーの機能の一つ。特定のユーザーにのみメッセージを送る。
Whitefire,noun,"January, name of month",false,白炎,１月。白炎の月
Wild Steppe,noun,,false,野生草原,極北の東に広がる草原
Wolf,noun,,false,狼,種族の一つ。
Wood Elves,noun,,false,南の森のエルフ？,ヘルプ中の一箇所でしか使われていない。Aethenの森のエルフを指すようだ。
XP,noun,,false,XP,経験値。
YW,noun,,false,YW（Wesnoth 暦〜年）,YWのままでも構わないが、その場合は登場した最初だけ（Wesnoth 暦）を付けて分かりやすくしておくこと。
Yechnagoth,noun,,false,Yechnagoth,「燃える太陽の下で」
Zhul,noun,,false,Zhul,「燃える太陽の下で」
abilities,noun,,false,能力,"ユニットが持つ能力。
伏兵、潜伏、治療、摂食、回復 +4、回復 +8、照明、統率、隠密、再生、散兵、装甲、潜水、瞬間移動、解毒。"
ability,noun,,false,能力,"ユニットが持つ能力。
伏兵、潜伏、治療、摂食、回復 +4、回復 +8、照明、統率、隠密、再生、散兵、装甲、潜水、瞬間移動、解毒。"
accuracy,noun,,false,命中,
add-on,noun,,false,アドオン,
addon,noun,,false,アドオン,add-on の表記ゆれ
addons,noun,,false,アドオン,
admin,noun,,false,管理者,システム管理者、サーバー管理者。
advance,noun,,false,レベルアップ,昇進、クラスチェンジなどと混在していたのでレベルアップに統一
advancement,noun,,false,レベルアップ,昇進、クラスチェンジなどと混在していたのでレベルアップに統一
advancements,noun,,false,レベルアップ,
advances,noun,,false,レベルアップ,昇進、クラスチェンジなどと混在していたのでレベルアップに統一
advisor,noun,,false,顧問、相談役,"文脈によっては、助言者、参謀、軍師、御伽衆などと訳すべきかもしれない。
国王のadvisorなら、大臣がふさわしいと思う。"
afternoon,noun,,false,午後,時刻サイクル
aged,noun,,false,老化,ユニットの特性の一つ。HP、近接攻撃のダメージ、移動力が減少する。
alignment,noun,,false,アラインメント,秩序、混沌など
alignments,noun,,false,アラインメント,秩序、混沌など
allied,adjective,,false,同盟、同盟軍,"同盟軍と自軍の両方を含む場合や、1人の仲間を表している時もある。
一応、ヘルプ中や能力の解説では同盟軍に統一してあるが、シナリオ中のセリフとかなら友軍でもいいかも？"
allies,noun,,false,同盟、同盟軍,"同盟軍と自軍の両方を含む場合や、1人の仲間を表している時もある。
一応、ヘルプ中や能力の解説では同盟軍に統一してあるが、シナリオ中のセリフとかなら友軍でもいいかも？"
ally,noun,,false,同盟、同盟軍,"同盟軍と自軍の両方を含む場合や、1人の仲間を表している時もある。
一応、ヘルプ中や能力の解説では同盟軍に統一してあるが、シナリオ中のセリフとかなら友軍でもいいかも？"
area,noun,,false,領域,"マップ・シナリオエディタで使用される用語。
選択ツールで選択する部分とは別物なので注意！そちらは「選択部分」と訳すこと。selection areaなどと書かれている場合はこちらの方なので「選択領域」とする。
非常に紛らわしいので他の訳語を当てた方がいいかも？"
areas,noun,,false,領域,"マップ・シナリオエディタで使用される用語。

マップ・シナリオエディタで使用される用語。 選択ツールで選択する部分とは別物なので注意！そちらは「選択部分」と訳すこと。selection areaなどと書かれている場合はこちらの方なので「選択領域」とする。 非常に紛らわしいので他の訳語を当てた方がいいかも？"
army,noun,,false,軍隊,
artifact,noun,,false,聖遺物,"本来の意味は「（特に史的価値のある）遺物, 工芸品〘武器用具など〙」。

「Wesnoth の起源」においては「炎のルビー」のことを指す。当初の訳は「アーティファクト」とされていたが、分かりにくいので変更。少し意味が逸れるかもしれないが、雰囲気を出すために「聖遺物」としてみる。

一般的な場合は「工芸品」で良いと思う。"
attack type,noun,,false,ダメージ型,damage typeと同義なので統一
attack types,noun,,false,ダメージ型,damage typeと同義なので統一
auto-save,noun,,false,自動保存,
auto-saves,noun,,false,自動保存,
autosave,noun,,false,自動保存,
autosaves,noun,,false,自動保存,
bag of bones,noun,,false,骸骨野郎,"「英辞郎」によれば、「〈俗〉骨と皮ばかりの［ガリガリに痩せこけた］人［動物］」という慣用的な表現。恐らく ""bonebag"" や ""bone-bag"" も同様のニュアンスと思われる。
「骸骨野郎」とでも訳すのが良いかと思う。
「骨袋」でも雰囲気は伝わるが。"
ban,noun,,false,バン,マルチプレイヤー時の用語またはコマンド。
base income,noun,,false,基準収入,"プレイヤーごとに設定されている、基準となる収入。これに村からの収入が加算される。
収入（income）も参照。"
base layer,noun,,false,ベースレイヤー,エディタ用語。
basic terrain,noun,,false,基本地形,地形のタイプの一つ。
benchmark,,,false,ベンチマーク,
bookmark,noun,,false,ブックマーク,ファイルブラウザに備わっている、指定したフォルダをブックマークに登録して呼び出せるようにする機能。
breeder,noun,,false,可産ドレーク,"「可産」は ""breed"" という単語の意味から考案した造語。

他の候補としては「婚嫁ドレーク」「孵卵ドレーク」「繁殖ドレーク」「生殖ドレーク」「牝ドレーク」「娘ドレーク」など。

以下、drakipedia より、breeder の項。
女性のドレーク。卵の段階から特別な世話が必要になるため、希少な存在である。孵卵期間中は自力で食料を確保することができないため、その数は周囲に存在するそれ以外のドレークの数によっても制限される。次の世代の孵化の後に生殖可能になる。"
bug,noun,,false,虫、バグ,ブログラムの誤りをあらわす場合はバグと訳す。
bug reports,noun,,false,バグレポート,バグを特定し、報告すること。
button,noun,,false,ボタン,GUIの部品のひとつ。
bzip2,noun,,false,bzip2,データ圧縮をするプログラムのひとつ、またはその圧縮データのフォーマットのこと。拡張子は .bz2。
caching,,,false,キャッシュ,
campaign,noun,,false,キャンペーン,複数の連続たシナリオをまとめたもの。
carryover,noun,,false,引き継ぎ,ゴールドの引き継ぎ
caste,noun,,false,系統,"ドレークの社会階層。
「カースト」と訳すか検討中。"
chat,noun,,false,チャット,
chat log,noun,,false,チャットログ,
cheat,,,false,不正、チート,プログラムを不正に改造する行為をあらわす場合は、チートと訳す。
chief,noun,,false,チーフ、族長、頭（かしら）、隊長、ボス、リーダー,"チーフ、なんだけどそのまま使うと雰囲気が出ない。
chieftain（族長）の短縮形でもある。"
chieftain,noun,,false,族長、首長、首領,氏族（clan）の長とか部族（tribe）の長とかいう意味。
clan,noun,,false,クラン、一族、氏族,"氏族とか血族といった意味らしい。
部族（tribe）も参照。"
click,,,false,クリック,マウス操作のひとつ。
coding,,,false,コーディング,"(1) コードを書くこと。
(2) 符号化"
cold,noun,,false,冷気,ダメージ型の一つ。
command line option,noun,,false,コマンドラインオプション,
command line options,noun,,false,コマンドラインオプション,
command mode,noun,,false,コマンドモード,https://www.wesnoth.org/wiki/CommandMode
commander,noun,,false,指揮官、司令官,リーダー（leader）も参照
community,noun,,false,コミュニティー、共同体,キャンペーンのストーリー上の小集団を指す場合と、Wesnothのユーザーコミュニティーを指す場合がある。
computer,noun,,false,コンピューター,コンピュータが操作しているプレイヤーを指す場合は紛らわしいのでAIでいいかも。
concealment,noun,,false,潜伏,ユニットの能力の一つ。村にいる間、敵からは不可視になる。
configuration,noun,,false,設定,
configuration file,noun,,false,設定ファイル,
controller,noun,,false,コントローラー,"陣営を操作する人、またはAI。
操作者。"
council,noun,,false,評議会,評議会と訳されることが多いが種族により形態はさまざま。
crossbow,noun,,false,クロスボウ,https://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%AD%E3%82%B9%E3%83%9C%E3%82%A6
cure,noun,,false,治療,毒の状態異常を取り除く能力。
cures,noun,,false,治療,ユニットが持つ能力の一つ。
current,adjective,,false,現在の,カレント
custom units,noun,,false,カスタムユニット,
cycle,noun,,false,星紀,ドレークが用いる、詳細不明の天文学的な期間。ドレークの１世代におおよそ相当する。語呂の良さから、とりあえず「星紀」と訳す。
damage,noun,,false,ダメージ,
damage type,noun,,false,ダメージ型,刺突とか斬撃、秘術など。
damage types,noun,,false,ダメージ型,刺突とか斬撃、秘術など。
dawn,noun,,false,夜明け,
day,noun,,false,日中,秩序ユニットが強化され、混沌ユニットが弱体化する時刻。当然、ゲーム時刻やアラインメントとは関連の無い普通の英単語の場合もあるので注意。
daytime,noun,,false,日中,夜明け、朝、昼、午後、夕暮れ
debug,noun,,false,デバッグ,
debug domain,noun,,false,デバッグドメイン,
debug logging,noun,,false,デバッグログ,デバッグ目的に出力するログ。
debug mode,noun,,false,デバッグモード,"https://wiki.wesnoth.org/DebugMode
コマンドモード（command mode）も参照のこと"
deep water,noun,,false,深水,
defense,noun,,false,回避、回避率,ユニットが攻撃を避けるかどうかの判定。違う意味で使用されていることも多いので注意。
defensive line,noun,,false,防衛線,
define,noun,,false,定義,
defined,noun,,false,定義された,定義済
delay,noun,,false,ディレイ,"遅延。
処理の同期を取るために、少し待ち時間を入れること。"
dextrous,noun,,false,器用,ユニットの特性の一つ。遠隔攻撃のダメージが増える。
dialog,,,false,ダイアログ,大抵はダイアログボックスのこと。
dialogue,,,false,会話,
difficulty,noun,,false,難易度,
dim,noun,,false,凡愚,
directory,noun,,false,ディレクトリ,WindowsやMac OSではフォルダと呼び、UNIXではディレクトリと呼ぶ。
disable,verb,,false,無効化する,無力化する。使用しない。オフにする。
disabled,verb,,false,無効になった,
disables,verb,,false,無効化する,
dismiss,noun,,false,解雇,ユニットの解雇。
drakes,noun,,false,ドレーク,
dusk,noun,,false,夕暮れ,時刻サイクル
eagle,noun,,false,鷲,
editing modes,noun,,false,エディタモード,
editor,noun,,false,エディタ,エディターではなくエディタ。だいたいシナリオ・マップエディタを指す。
editor brushes,noun,,false,エディタブラシ,
editor clipboard,noun,,false,エディタクリップボード,
editor palette,noun,,false,エディタパレット,シナリオ・マップエディタで出てくる用語。
editor toolkit,noun,,false,エディタツールキット,
editor tools,noun,,false,エディタツール,
elemental,noun,,false,精霊,
